flight_number,departure_airport,arrival_airport,departure_date,departure_time,arrival_date,arrival_time,duration,airline,price
3394,,MUC,1/21/2022,9:14 AM,8/31/2022,10:21 PM,8.04,American,271.44
8650,REE,EMP,3/14/2021,5:07 PM,2/24/2021,6:05 AM,19.84,British Airways,699.46
7476,,,7/28/2022,3:39 AM,2/13/2022,2:02 AM,23.19,Qatar Airways,467.86
9475,,TLT,1/3/2022,6:22 AM,9/22/2022,3:49 AM,10.33,British Airways,529.79
8543,MIM,ARS,5/2/2022,3:55 AM,7/31/2022,6:26 AM,20.1,Lufthansa,62.2
7543,YXK,TTI,7/16/2022,5:46 PM,1/18/2022,10:54 AM,12.5,United,119.75
8069,,MHY,1/17/2021,9:17 AM,11/14/2021,5:20 PM,12.58,United,630.22
3060,GGG,,6/6/2022,8:10 PM,5/23/2021,6:18 AM,14.34,JetBlue,
6146,AYT,DAR,3/7/2022,3:34 PM,5/22/2022,1:41 AM,22.27,Southwest,319.67
8373,BCV,YCH,12/27/2022,8:59 AM,8/23/2021,12:42 PM,,American,81.68
6498,SBV,M UI,11/28/2021,5:16 PM,5/13/2022,11:46 AM,22.15,Delta,862.68
9363,VIH,LIW,6/8/2022,6:25 AM,5/5/2021,7:34 PM,15.98,Emirates,229.76
9995,ZMM,FSS,1/18/2021,5:42 AM,10/16/2022,9:24 PM,19.99,Delta,
8272,SLI,SJA,7/29/2022,9:08 AM,11/26/2022,8:44 AM,2.04,Southwest,866.14
1981,MFA,ORD,6/29/2022,1:45 PM,1/26/2021,2:19 AM,21.07,British Airways,858.01
9197,GDO,0,7/27/2022,8:36 AM,6/19/2022,12:16 PM,12.6,Lufthansa,437.47
8310,MQV,REA,4/4/2021,7:44 AM,6/2/2021,10:25 PM,18.72,Qatar Airways,481.4
2622,JOG,KIF,4/19/2021,11:19 PM,5/1/2022,9:12 PM,6.84,JetBlue,481.93
4571,ZKG,MRS,10/10/2022,11:36 AM,12/25/2022,8:22 AM,7.39,Lufthansa,553.32
3788,UGB,OSC,12/21/2022,10:32 PM,5/11/2021,12:20 PM,21.83,Delta,
6835,TMB,NFG,10/7/2021,6:22 AM,4/9/2021,2:31 AM,12.75,United,338.2
3261,KBJ,MTZ,10/1/2022,2:43 AM,10/6/2021,4:56 AM,7.77,British Airways,198.15
1093,MOH,HLG,9/28/2021,10:43 PM,10/26/2021,3:36 PM,19.72,Emirates,76.88
3322,DMM,,11/2/2021,3:21 PM,8/4/2022,2:39 PM,1.86,Delta,249.16
1896,GLW,SRW,,,7/17/2022,6:18 PM,22.84,Lufthansa,283.36
5018,WAQ,HIF,12/24/2021,5:24 PM,3/5/2022,11:52 AM,5.03,Southwest,289.16
7178,BAN,CGA,12/21/2021,2:00 AM,5/31/2021,6:42 PM,21.96,United,393.37
1543,KTB,FNC,9/10/2021,10:28 AM,12/28/2022,1:50 AM,6.76,Delta,241.18
4417,IVH,GDM,11/17/2021,2:45 AM,9/2/2021,3:13 AM,22.31,JetBlue,853.97
1643,LVM,FOA,8/22/2021,8:25 AM,2/4/2021,12:31 PM,10.8,Qatar Airways,196.13
5807,HII,EHM,11/8/2022,11:33 PM,6/21/2021,3:53 AM,22.16,United,910.93
6445,,LLL,6/10/2021,8:35 PM,9/4/2021,5:42 AM,8.07,JetBlue,604.43
8305,GKN,MJB,10/19/2021,12:36 AM,4/20/2022,2:05 AM,21.3,Delta,597.88
8715,MSB,,4/5/2021,7:43 AM,12/3/2021,3:18 PM,17.9,Southwest,101.69
6688,TCA,ELU,6/10/2022,4:41 AM,1/14/2022,12:36 PM,4.89,,100.54
3274,KDU,LWR,10/12/2022,8:19 AM,8/5/2021,7:24 AM,15.19,United,891.19
4103,YBH,MDC,7/16/2022,10:11 AM,3/27/2022,4:22 AM,7.07,United,180.18
4695,SAR,MEB,10/29/2021,5:43 AM,11/13/2022,9:15 PM,20.71,Emirates,324.46
6911,BSS,TDA,12/27/2021,6:46 PM,6/5/2021,5:46 PM,22.79,Qatar Airways,218.74
1034,DCM,PTZ,1/21/2022,11:22 AM,9/8/2021,,17.99,Lufthansa,529.3
1818,KEB,VUP,10/26/2022,8:51 PM,3/25/2022,10:43 PM,11.07,Air France,330.83
1710,LNZ,GRC,2/13/2021,11:15 AM,8/18/2021,2:52 PM,13.11,Air France,499.99
3608,VTB,MOA,4/14/2021,6:36 AM,4/4/2021,9:09 AM,21.61,JetBlue,797.16
3045,LAY,GGO,1/5/2021,1:14 AM,10/23/2022,9:50 PM,20.74,Air France,191.5
8212,ANK,TPU,11/7/2021,11:52 PM,5/9/2021,9:44 PM,11.19,Delta,978.94
4067,KNZ,WWP,11/30/2022,,7/4/2021,2:49 AM,13.7,Southwest,553.22
4171,APQ,IMM,11/22/2022,11:09 AM,1/6/2021,8:34 AM,10.51,JetBlue,955.53
8764,WZQ,LCY,8/4/2021,6:08 AM,12/9/2021,1:38 AM,3.64,Air France,511.15
1101,GFA,DBA,10/7/2021,2:22 AM,,7:35 PM,21.48,Air France,538.58
8557,FUE,,,4:21 PM,3/6/2021,5:26 PM,17.44,Emirates,
4952,YPG,VDA,10/2/2021,10:19 AM,8/22/2021,4:31 PM,3.62,British Airways,318.68
2060,LNA,UUS,1/4/2022,12:33 AM,9/1/2022,4-02 PM,4.38,United,166.32
1335,QXH,ELY,1/11/2021,5:57 AM,12/2/2022,10:50 PM,1.11,,333.68
9053,AIZ,,7/28/2021,2:33 PM,11/5/2022,7:13 PM,15.84,Delta,943.41
6649,BIX,JEE,7/23/2022,11:05 AM,3/28/2021,11:08 PM,4.02,Southwest,132.76
6456,BSV,YSK,6/4/2021,2:32 PM,1/4/2022,7:32 AM,16.91,Air France,300.7
7231,MEO,DEF,12/1/2021,12:11 AM,8/19/2021,6:16 AM,20.6,Air France,770.69
5169,GMN,DCI,12/2/2021,4:13 AM,11/8/2021,7:05 AM,2.25,Southwest,803.91
6303,PKK,YTX,7/20/2021,5:14 PM,6/29/2021,4:20 AM,10.24,United,
6564,TRE,RSL,5/20/2021,2:28 PM,6/28/2021,7:23 PM,7.37,British Airways,113.68
6575,ULB,CGR,11/15/2021,11:09 AM,7/25/2022,7:51 AM,16.77,Lufthansa,125.42
7042,BCD,LSP,7/3/2021,11:04 PM,4/30/2022,3:23 PM,1.61,Air France,868.47
2824,CUZ,GGC,2/16/2021,7:02 AM,11/14/2022,1:30 AM,9.07,Southwest,301.79
4354,KOT,GUE,10/21 /2022,6:17 PM,7/8/2022,3:03 AM,6.44,Delta,384.15
9467,,PJA,11/17/2021,1:50 AM,5/16/2022,2:31 AM,2.13,Delta,73.58
9756,CYA,OBY,10/24/2022,2:22 AM,8/16/2022,9:10 PM,,Lufthansa,625.62
4958,YDP,ADH,12/13/2022,10:53 AM,5/28/2022,12:34 AM,20.74,Southwest,412.07
3475,BGH,LZY,1/25/2021,7:49 PM,8/11/2022,1:23 PM,22.8,Southwest,872.36
5020,NTG,MWR,8/21/2022,11:54 AM,1/2/2021,2:07 PM,14.7,Southwest,970.18
9418,KJH,FLO,10/23/2021,8:09 AM,6/14/2022,12:11 PM,19.09,Air France,372.17
1402,ACP,BNP,1/15/2021,,5/3/2021,5:30 PM,8.61,Air France,251.91
2106,KON,BCO,5/15/2021,11:41 AM,4/30/2021,12:49 AM,16.17,United,831.25
8133,LHA,GRC,10/18/2021,4:52 AM,1/23/2022,8:49 PM,3.64,JetBlue,990.93
8423,WNA,YVE,9/13/2022,10:27 AM,3/31/2022,10:37 PM,3.97,Southwest,583.92
9836,LMB,PVC,12/21/2022,5:07 PM,6/20/2021,3:55 PM,2.6,Lufthansa,745.45
,BWN,ANE,12/20/2022,11:46 PM,11/1/2021,2:29 PM,11.35,British Airways,596.45
1400,YVA,TMG,12/23/2022,3:42 PM,5/9/2022,8:51 AM,3.42,Lufthansa,187.43
6148,,GES,8/21/2021,5:57 AM,10/5/2022,10:44 PM,3.38,JetBlue,757.36
4316,KOQ,SHL,10/7/2021,7:58 PM,7/31/2022,6:49 AM,6.16,Qatar Airways,321.52
4502,NRS,OGZ,3/8/2021,11:40 PM,8/17/2021,10:29 PM,22.86,British Airways,706.51
9281,MCK,ARU,9/4/2022,2:16 AM,4/28/2021,12:00 PM,17.99,American,354.48
4178,EVN,PIO,5/14/2022,7:04 PM,4/15/2021,5:02 AM,,Emirates,671.08
1281,ERB,DUN,4/25/2021,,5/29/2022,8:29 AM,6.25,British Airways,869.56
1259,TCD,,9/27\2022,6:20 AM,6/3/2022,12:29 PM,23.32,Delta,597.74
8312,YVA,CXC,11/30/2022,4:13 PM,5/8/2022,7:55 PM,6.32,Southwest,879.62
3833,AMY,IMQ,10/24/2021,12:34 AM,10/31/2021,,17.7,British Airways,812.38
3842,OAM,KDL,9/4/2021,4:19 PM,6/14/2021,3:26 PM,13.56,Southwest,704.43
6104,LKW,SYW,12/3/2022,11:08 PM,7/3/2022,3:45 PM,17.84,British Airways,503.08
5067,KHT,KRZ,5/4/2021,10:24 AM,6/13/2022,6:26 AM,3.41,Lufthansa,738.9
3996,YRQ,PWD,9/11/2022,5:57 PM,12/25/2021,,6.4,Emirates,
7110,ARJ,GWV,6/12/2021,7:07 AM,5/23/2022,8:37 AM,8.87,Delta,287.69
1740,AOU,PSM,1/20/2022,2:14 AM,10/10/2021,1:45 AM,1.5,Emirates,276.51
1399,TGM,PVG,1/27/2022,8:40 PM,2/8/2021,12:11 PM,14.07,Air France,
7825,SZJ,AUS,11/23/2022,5:51 AM,2/9/2021,2:24 PM,10.56,Air France,923.39
5316,FLF,SXV,12/13/2022,9:19 PM,4/7/2022,1:41 PM,6.71,American,580.37
6863,CSE,ANJ,4/14/2021,6:23 AM,2/14/2021,5:44 PM,11.97,Lufthansa,839.86
6230,JIL,THC,2/16/2021,1:32 PM,4/19/2021,12:22 AM,13.66,Delta,492.62
5188,LMC,MQX,8/6/2021,11:59 AM,9/5/2021,8:41 AM,3.76,Southwest,531.46
4709,GQQ,OST,10/15/2021,6:57 PM,9/19/2021,6:07 AM,9.65,Southwest,566.99
8180,PHB,YZF,1/1/2022,1:34 PM,10/18/2021,2:24 PM,20.58,Delta,563.06
5422,CVM,KYZ,7/19/2022,12:21 PM,4/3/2021,6:18 PM,3.69,Delta,50.2
5188,AKL,HLN,9/9/2021,9:19 PM,9/20/2021,,13.08,United,873.98
3089,TSN,HIJ,6/14/2022,10:27 PM,2/22/2022,10:31 PM,12.21,Air France,390.95
4026,LKW,YZA,12/20/2021,12:15 PM,12/5/2021,6:24 AM,10.96,United,247.84
1436,QLP,WPA,9/25/2022,11:36 AM,12/5/2022,11:57 PM,6.21,British Airways,371.8
86_69,MFZ,YOD,9/13/2021,1:34 PM,10/11/2022,5:27 PM,6.54,Southwest,474.66
7992,KSP,PTF,11/7/2021,,9/24/2021,8:23 PM,,United,148.61
3907,GAN,SBY,,1:31 AM,5/17/2021,11:10 AM,2.73,American,673.17
8384,MJJ,SCH,3/28/2022,,10/6/2021,5:38 PM,4.14,Air France,229.7
2168,NYT,RMD,9/16/2022,5:13 PM,9/5/2021,1:09 PM,19.94,,79.33
9898,SHG,SHQ,12/14/2021,8:25 PM,10/4/2022,6:21 AM,15.36,Qatar Airways,271.84
,MAI,LPB,9/20/2021,9:00 PM,6-24-2022,4 16 AM,9.74,Air France,184.03
4130,GUR,JAF,4/23/2021,1:43 AM,,8:04 AM,19.07,JetBlue,178.84
9233,JNS,AAM,8/12/2021,5:30 AM,5/31/2021,7:08 AM,1.81,American,777.8
3347,PBU,AZZ,3/22/2022,10:13 AM,10/4/2022,8:37 PM,9.98,Qatar Airways,234.54
4454,ACK,IVI,10/31/2022,5:01 AM,1/10/2021,7:34 AM,7.41,Southwest,246.23
5076,DNH,DEB,5/15/2021,6:14 PM,6/15/2021,12-46 PM,7.06,Southwest,840.79
2442,CLV,ZTR,11/19/2022,12:39 AM,4/1/2022,8:13 AM,10.24,Delta,542.36
8373,MKV,BVY,11/14/2022,10:07 AM,,11:53 PM,17.15,Delta,744.46
2941,APY,EKI,,1:23 AM,3/18/2022,,10.54,Lufthansa,
8914,MSQ,JMS,7/12/2022,4:52 PM,3/22/2022,4:45 AM,19.31,Air France,401.06
4754,,BQB,4/3/2021,11:41 PM,8/26/2022,10:38 PM,8.28,Delta,666.71
3644,KKK,JCK,2/16/2022,1:20 PM,9/18/2022,8:25 AM,14.65,Lufthansa,730.11
3109,HIS,DYR,9/5/2021,10:59 AM,8/17/2021,6:05 AM,7.49,American,152.83
2436,TNG,KPM,2/16/2022,,6/8/2021,8:04 AM,5.94,Southwest,216.93
9528,ADE,LSN,12/10/2022,2:01 AM,3/21/2022,9:07 AM,12.12,Southwest,349.55
2172,RKS,UCT,5/6/2021,12:46 PM,6/23/2021,2:38 AM,8.13,Lufthansa,
1700,SQY,,7/19/2021,4:31 AM,9/11/2021,8:43 AM,1.18,American,383.92
9171,QRC,OMA,6/2/2021,5:22 PM,1/27/2021,12:41 AM,12.49,American,316.79
4327,ULP,BNC,2/5/2021,8:47 PM,11/19/2021,5:44 PM,3.29,Emirates,625.72
9636,YIV,BRK,9/25/2021,9:34 PM,3/10/2021,1:35 PM,5.81,American,284.7
4911,FFD,LPF,7/23/2022,4:51 PM,7/13/2022,8:32 AM,18.87,Southwest,965.83
8791,PSP,BAT,3/17/2022,1:01 PM,10/25/2022,10:40 PM,14.33,JetBlue,207.05
5762,BFW,JBR,8/19/2021,5:02 AM,3/25/2022,1:21 PM,11.62,Air France,785.86
5901,EAT,QLR,1/10/2021,10:24 PM,2/22/2022,12:33 AM,6.7,Air France,875.02
7751,PYM,PUV,8/26/2022,6:35 PM,12/28/2022,,2.03,Qatar Airways,254.0
7557,OKB,LKH,3/22/2021,1:04 PM,9/18/2022,2:32 AM,16.33,JetBlue,524.19
5573,TPP,ZIS,1/1/2022,12:53 AM,10/11/2022,7:01 AM,15.69,Delta,
9885,BBY,WAQ,8/30/2022,8:45 AM,3/10/2022,12:29 AM,1.5,Southwest,93.62
2386,GFN,IDR,6/11/2021,7:03 AM,12/16/2022,12:42 AM,9.55,British Airways,
3341,PRW,DVP,5/30/2022,,4/18/2022,11:50 PM,12.41,Southwest,747.08
5404,END,MYI,7/2/2021,12:17 PM,5/30/2022,9:16 AM,14.8,Southwest,669.75
5516,LAE,SDD,6/16/2021,4:19 AM,3/29/2022,10:41 PM,20.48,Air France,872.93
5587,ZCO,RBB,10/29/2021,3:22 AM,11/12/2022,2:50 AM,2.72,JetBlue,942.55
8754,SJC,FYM,3/9/2021,5:33 AM,8/1/2022,10:39 AM,23.3,Lufthansa,885.29
5619,ANN,REZ,3/15/2022,10:15 PM,1/12/2022,9:30 PM,23.85,United,198.56
9567,MMM,BXJ,10/12/2021,6:27 PM,6/29/2022,8:53 PM,12.09,,533.62
4875,ESL,WMB,1/30/2021,10:57 PM,10/9/2022,5:50 PM,,United,462.66
8763,RHI,UBI,,5:03 PM,5/21/2021,4:45 PM,22.43,Air France,542.37
4799,HVA,,10/9/2022,8:06 PM,3/1/2022,7:26 AM,8.24,Southwest,617.23
2760,CUQ,BDQ,2/10/2022,10:05 AM,12/17/2022,11:07 PM,3.53,Qatar Airways,524.09
4130,EBD,AUC,9/12/2022,5:09 AM,,12:26 PM,8.92,Delta,706.36
9919,DWH,GUF,3/25/2022,2:20 PM,2/7/2022,6:18 AM,14.79,Air France,653.07
2023,CUC,LVI,1/22/2022,3:40 AM,6/1/2022,9:56 PM,17.77,American,805.01
6174,GBV,VHN,5/17/2021,12:59 PM,5/26/2021,,23.99,Emirates,907.83
9190,0,BNS,5/29/2022,4:46 PM,4/30/2021,6:26 AM,15.89,Lufthansa,167.42
,WLS,TNC,4/13/2021,3:00 PM,10/22/2021,4:28 PM,22.47,Air France,204.43
9405,BDI,SUT,9/13/2022,5:02 AM,2/14/2022,12:35 AM,2.05,American,81.03
8649,ZWL,RTA,10/30/2021,6:03 AM,,2:41 PM,18.94,Air France,74.77
3881,TOI,PRR,,12:41 AM,8/2/2021,6:22 PM,3.28,United,612.3
3118,IXQ,MXJ,,11:20 AM,2/9/2022,5:16 PM,15.22,United,765.46
6748,GSS,SEP,4/27/2022,2:45 AM,3/15/2022,9:31 PM,14.49,Air France,266.03
8660,BIS,DQH,4/11/2022,11:53 PM,8/18/2021,12:12 PM,18.81,Lufthansa,438.74
1463,SOF,THK,12/17/2021,12:51 AM,7/13/2021,2:26 PM,8.75,Qatar Airways,737.71
6986,DIA,TTE,3/7/2021,10:33 PM,1/5/2022,11:04 AM,13.52,Air France,
5163,MYD,YAB,,5:43 PM,7/3/2021,4:37 AM,8.02,United,301.65
1893,TCQ,VLE,11/7/2021,3:27 PM,10/22/2022,8:16 PM,8.4,Qatar Airways,342.19
3042,LSV,MTZ,11/14/2022,5:30 PM,9/23/2021,3:56 PM,5.13,British Airways,351.04
1883,AOT,EGH,1/21/2022,11.13,5/30/2021,7:53 AM,,American,979.87
1655,YMO,YAC,,8:23 PM,12/22/2022,10:31 AM,20.84,Qatar Airways,
5022,VOZ,OKE,9/25/2022,12:27 PM,5/21/2021,3:58 AM,6.47,Delta,248.51
1645,MJD,EGA,,2:40 PM,4/17/2021,1:52 AM,22.71,Delta,798.59
5517,UST,HUX,1/27/2021,11:47 PM,9/19/2022,11:35 PM,12.53,Qatar Airways,648.67
4087,AEU,LWV,2/13/2022,5:56 AM,5/25/2021,10:18 PM,7.94,Lufthansa,842.01
4838,AUX,MDA,9/17/2022,,5/20/2022,4:18 PM,11.33,Air France,337.24
3913,AOL,SRD,8/25/2021,6:07 AM,6/22/2021,9:24 PM,20.03,United,159.39
4742,UKR,DDN,2/5/2022,7:18 AM,10/2/2022,12:57 PM,16.19,American,552.96
9177,WEA,KUM,4/23/2021,4:28 AM,6/13/2022,,,JetBlue,195.72
9351,ROD,ROI,4/11/2021,1:24 PM,4/19/2021,9:06 AM,17.93,Lufthansa,350.69
9291,CGK,YIF,8/8/2021,11:58 PM,1/6/2022,8:56 AM,18.85,Emirates,600.62
,,IVR,2/27/2022,4:41 AM,4/18/2022,5:21 PM,3.02,Lufthansa,644.51
3572,JOP,JDP,2/20/2022,11:29 PM,4/26/2022,5:49 AM,4.76,Air France,262.56
5043,WSY,BDP,5/28/2022,11:15 AM,8/26/2022,11:41 PM,14.89,Lufthansa,593.34
2470,LBE,SMW,4/20/2022,12:27 AM,12/22/2021,1:53 AM,21.45,JetBlue,438.01
7321,YQT,LNK,,8:42 PM,11/17/2021,2:10 PM,23.13,JetBlue,549.24
4084,PKC,CPO,8/8/2022,1:12 PM,8/22/2021,3:05 PM,23.49,United,
7398,IWJ,DON,4/28/2022,3:46 PM,12/3/2021,4:23 PM,1.33,British Airways,596.21
4088,JSM,CHG,5/12/2022,10:18 AM,7/4/2021,5:57 AM,10.26,American,977.73
4576,LSS,MBJ,4/29/2021,7:07 PM,9/23/2022,8:26 AM,15.86,Delta,371.21
2269,LBB,EDI,5/26/2021,3:27 AM,4/8/2022,4:30 AM,8.68,Qatar Airways,517.39
1033,CXC,VVB,8/19/2021,,3/10/2021,1:18 PM,4.39,Lufthansa,800.39
7274,CFG,0,12/22/2021,12:02 AM,11/23/2021,1:12 PM,10.15,American,912.48
6796,BYA,HBH,5/30/2022,2:59 AM,11/5/2021,1:12 AM,21.39,JetBlue,652.75
9415,DZI,GFY,6/22/2022,,5/17/2022,9:02 PM,16.22,United,749.78
7603,0,DRS,4/1/2021,3:49 AM,1/19/2021,2:26 AM,3.74,JetBlue,753.91
4741,MJR,IFP,4/19/2021,7:15 AM,9/12/2021,1:47 AM,7.42,British Airways,977.18
2365,ROH,KHU,6/3/2021,11:11 PM,1/26/2022,8:27 PM,8.01,Emirates,815.38
9208,UNT,YQY,7/30/2022,1:24 PM,3/4/2021,11:26 PM,4.91,Lufthansa,629.32
2136,KMK,CKV,10/30/2022,8:38 AM,3/29/2021,6:09 PM,14.15,Air France,904.55
4621,,OTJ,2/21/2022,11:27 AM,2/21/2021,3:54 PM,5.91,Southwest,612.06
9138,SJX,TJV,12/27/2022,4:30 PM,2/28/2022,6:04 PM,1.99,Southwest,66.69
5565,FSK,SLH,7/20/2021,1:15 PM,3/18/2021,5:32 AM,1.76,Southwest,636.47
,KLU,KSE,4/10/2021,1:14 PM,3/16/2021,11:26 AM,8.46,United,844.08
1388,VOT,PPR,11/4/2021,9:51 PM,9/7/2021,6:27 PM,5.56,Air France,777.51
1329,SPF,RNS,4/11/2021,3:45 PM,10/10/2021,,,Delta,989.68
3295,ASV,GIB,4/9/2022,8:47 AM,9/10/2021,6:31 AM,20.8,Air France,680.66
9368,GRR,UBT,8/29/2022,9:06 PM,11/7/2022,5:17 PM,6.01,British Airways,
7097,STI,CHU,,7:17 PM,5/3/2022,3:56 PM,9.08,Qatar Airways,919.59
8159,ISE,MVA,8/10/2021,10:51 AM,7/23/2022,8:59 AM,20.08,American,
,HYS,MRR,11/16/2021,7:42 AM,1/14/2021,11:56 AM,4.87,Air France,783.7
3053,POS,TIW,8/16/2021,11:26 PM,3/2/2021,5:24 AM,4.36,Southwest,272.45
8146,NUD,RCM,9/17/2022,10:56 PM,6/21/2022,6:51 PM,4.22,JetBlue,405.12
4317,ALE,VTF,9/14/2022,8:34 PM,6/16/2021,11:23 AM,20.68,Qatar Airways,914.45
6410,,WSM,3/6/2022,9:45 AM,9/25/2022,2:49 AM,13.62,JetBlue,249.58
9490,SFL,LEE,1/29/2022,5:16 PM,2/4/2022,4:38 AM,4.56,Emirates,384.67
9831,ARA,,11/15/2021,12:22 AM,9/11/2021,12:46 AM,17.28,Qatar Airways,710.17
2336,GNS,MEX,1/3/2021,5:22 AM,1/30/2022,1:40 AM,20.02,Air France,907.96
9722,PLQ,QUB,10/30/2021,5:28 AM,7/2/2021,10:20 AM,5.1,Southwest,916.47
5605,XDJ,MXM,4/24/2022,10:29 PM,8/29/2022,7:11 PM,4.98,Southwest,403.97
9354,FRS,ZZV,4/30/2022,1:45 AM,11/17/2022,7:10 PM,7.09,JetBlue,
9252,IHU,DBS,6/1/2021,4:55 AM,10/16/2022,2:19 AM,18.46,Delta,734.61
8432,HTI,ALR,,8:35 PM,10/30/2022,9:31 PM,17.9,United,831.78
5891,,YVZ,1/27/2021,6:56 AM,7/12/2021,2:01 PM,13.36,American,119.83
,GRH,ETS,7/22/2022,8:33 PM,1/4/2021,1:49 PM,18.79,Lufthansa,418.53
6463,APC,SUX,1/10/2022,7:45 PM,9/1/2022,1:44 AM,19.07,JetBlue,473.47
1529,YPE,AWM,6/18/2021,8:58 PM,5/31/2021,3:32 AM,16.25,Emirates,232.27
1408,YQC,CGC,1/19/2021,8:07 PM,7/5/2022,8:30 PM,7.41,Southwest,586.01
9099,PAN,TJS,3/22/2022,7:16 PM,8/4/2021,2:10 AM,17.23,Qatar Airways,234.21
5606,BIV,IFN,5/18/2022,2:36 PM,11/30/2021,11:20 PM,22.29,JetBlue,665.69
5839,EDK,KRJ,3/25/2022,9:13 AM,8/26/2022,2:18 PM,2.4,Emirates,750.25
9776,ODY,KYU,7/7/2022,11:31 AM,2/28/2021,12:29 PM,,Emirates,125.65
9527,UMT,ISE,4/21/2022,1:17 PM,2/26/2021,3:33 PM,23.37,Air France,753.55
2059,USH,SHW,4/23/2022,1:16 AM,4/24/2021,4:47 PM,11.6,Qatar Airways,910.74
8026,YNM,,11/15/2022,6:27 AM,8/11/2022,4:14 PM,15.31,Delta,145.22
